,scopus_id,author
691,7103073409,"Cowan, Gloria"
692,16509880900,"Goldberg, Faye J."
693,7201421489,"MATTHEWS, GAIL"
694,16157164000,"LEVINE, JACOB"
695,6602620232,"WUEBBEN, PAUL L."
696,7003314050,"Nisbett, Richard E."
697,56246339000,"Gordon, Andrew"
698,25953960900,"BARUCH, RHODA"
699,6603487067,"LOEW, CLEMENS A."
700,6507518091,"Porier, Gary W."
701,16435931000,"Lott, Albert J."
702,56660026000,"MEYER, GUNTHER"
703,6507256435,"COADY, HENRY"
704,7801332120,"PYTKOWICZ, ANN R."
705,7103202699,"WAGNER, NATHANIEL N."
706,6602331141,"Hornstein, Harvey A."
707,7005242301,"CAIRNS, ROBERT B."
708,7402139094,"BURKE, RONALD J."
709,24304519800,"Wright, Logan"
710,7003524234,"GARTNER, DOROTHY"
711,6602194262,"Karlins, Marvin"
712,24600081300,"Lamm, Helmut"
713,7003512433,"Hancock, Francena T."
714,7202269985,"RODRIGUES, AROLDO"
715,6506855584,"SHERER, WILLIAM C."
716,7003613990,"Stricker, Lawrence J."
717,7404288191,"Jackson, Douglas N."
718,6603306027,"Papageorgis, Demetrios"
719,6507024850,"Lipetz, Milton E."
720,6602255349,"Ossorio, Peter G."
721,6701449143,"Rhine, Ramon J."
